(( :lambdas (
(  0.0 6.14160491514 0.338179060627 3.38179060627 ) 
(  0.1 4.43418643047 0.357129036391 3.57129036391 ) 
(  0.2 4.01751101747 0.327674693757 3.27674693757 ) 
(  0.3 2.95299595759 0.321872873088 3.21872873088 ) 
(  0.4 1.93409586327 0.351030361803 3.51030361803 ) 
(  0.5 0.742047649076 0.302677310181 3.02677310181 ) 
(  0.6 -1.3254173664 0.310128628996 3.10128628996 ) 
(  0.7 -2.01828012438 0.307839387242 3.07839387242 ) 
(  0.8 -3.68178493666 0.298975477711 2.98975477711 ) 
(  0.9 -4.73068687688 0.311958677478 3.11958677478 ) 
(  1.0 -6.03466732986 0.328869019033 3.28869019033 ) 
))
( :dg .  0.23781364062026056 ))
