(( :lambdas (
(  0.0 -6.262715562 0.0801781725884 0.801781725884 ) 
(  0.1 -6.19102981023 0.0791788405386 0.791788405386 ) 
(  0.2 -6.30225328493 0.0654129751913 0.654129751913 ) 
(  0.3 -6.35209964522 0.0662307838227 0.662307838227 ) 
(  0.4 -6.74447242341 0.0824806746299 0.824806746299 ) 
(  0.5 -6.53645241997 0.0840954359325 0.840954359325 ) 
(  0.6 -6.82593560184 0.0816810608546 0.816810608546 ) 
(  0.7 -6.90142508992 0.087116660011 0.87116660011 ) 
(  0.8 -6.56272838837 0.0942542097397 0.942542097397 ) 
(  0.9 -6.4193806689 0.101612830365 1.01612830365 ) 
(  1.0 -7.65578604934 0.158430031231 1.58430031231 ) 
))
( :dg .  -6.579502813846001 ))
