(( :lambdas (
(  0.0 -5.01654125164 0.112732408982 1.12732408982 ) 
(  0.1 -5.59269470386 0.116307679637 1.16307679637 ) 
(  0.2 -5.60153559745 0.120310490471 1.20310490471 ) 
(  0.3 -5.573048136 0.107557663518 1.07557663518 ) 
(  0.4 -6.0657463784 0.129308166565 1.29308166565 ) 
(  0.5 -6.73292584609 0.124316036375 1.24316036375 ) 
(  0.6 -6.62521071348 0.120246425375 1.20246425375 ) 
(  0.7 -6.95080016361 0.115925256174 1.15925256174 ) 
(  0.8 -6.84393052365 0.130632308328 1.30632308328 ) 
(  0.9 -7.26929542125 0.132175453624 1.32175453624 ) 
(  1.0 -7.54575333058 0.137120574607 1.37120574607 ) 
))
( :dg .  -6.353633477490001 ))
