(( :lambdas (
(  0.0 2.12988674845 0.31032828594 3.1032828594 ) 
(  0.1 2.41825483031 0.3017483425 3.017483425 ) 
(  0.2 2.78488095121 0.175899254809 1.75899254809 ) 
(  0.3 3.18379989906 0.184643311482 1.84643311482 ) 
(  0.4 5.49315983656 0.269987506715 2.69987506715 ) 
(  0.5 4.8742712119 0.335599068681 3.35599068681 ) 
(  0.6 4.62459352023 0.373656122597 3.73656122597 ) 
(  0.7 2.55618259932 0.391468391262 3.91468391262 ) 
(  0.8 2.84980822275 0.357512982462 3.57512982462 ) 
(  0.9 1.05106200937 0.34135306532 3.4135306532 ) 
(  1.0 -1.85673955257 0.347608069541 3.47608069541 ) 
))
( :dg .  2.9972586678641853 ))
