(( :lambdas (
(  0.0 39.7710382198 0.869707111868 8.69707111868 ) 
(  0.1 31.8238262138 0.699036884014 6.99036884014 ) 
(  0.2 26.78880623 0.606203188723 6.06203188723 ) 
(  0.3 23.3628751359 0.625096655896 6.25096655896 ) 
(  0.4 18.2966431698 0.523318582268 5.23318582268 ) 
(  0.5 14.0366489278 0.550001505713 5.50001505713 ) 
(  0.6 11.8039491261 0.458717709216 4.58717709216 ) 
(  0.7 7.89523829123 0.513534600194 5.13534600194 ) 
(  0.8 5.62146016215 0.41204995972 4.1204995972 ) 
(  0.9 1.65699423186 0.525610861229 5.25610861229 ) 
(  1.0 -2.17810443027 0.595373686748 5.95373686748 ) 
))
( :dg .  16.008290838333757 ))
