(( :lambdas (
(  0.0 11.1212682557 0.22638863368 2.2638863368 ) 
(  0.1 11.2538977363 0.237187234913 2.37187234913 ) 
(  0.2 9.79622709399 0.226396005913 2.26396005913 ) 
(  0.3 8.42494816853 0.23964448565 2.3964448565 ) 
(  0.4 9.08388240486 0.223399858093 2.23399858093 ) 
(  0.5 7.54869641348 0.269648766979 2.69648766979 ) 
(  0.6 6.66835354862 0.246516477015 2.46516477015 ) 
(  0.7 5.32972379813 0.254149846686 2.54149846686 ) 
(  0.8 5.62765654092 0.242415165052 2.42415165052 ) 
(  0.9 2.08194538744 0.291677247065 2.91677247065 ) 
(  1.0 -3.01262747685 0.523735082602 5.23735082602 ) 
))
( :dg .  6.986965148169754 ))
